timestamp,sample_id,elapsed_s,time_label,sensory_label,nh3_ppm,h2s_ppm,temperature,humidity,pressure,gas_resistance,s_nh3,s_h2s,s_bme,i_nh3,i_h2s,i_bme,note,nh3_delta,h2s_delta,gas_drop_pct
2026-05-17 03:43:15.003,exp_20260517a,1.189,fresh,none,3.16,0,25.1,71.0,988.8,8789,2,0,0,1,0,0,baseline_src=global b_nh3=0.135 steady_nh3=3.77 steady_dnh3=+3.64 old_label=fresh auto_label=fresh,3.0254425574425574,0.0,91.8761748151186
2026-05-17 03:43:15.705,exp_20260517a,1.891,fresh,none,3.16,0,25.1,71.1,988.8,9299,2,0,0,1,0,0,,3.0254425574425574,0.0,91.4047729668663
2026-05-17 03:43:16.384,exp_20260517a,2.57,fresh,none,3.73,0,25.1,71.2,988.8,9919,2,0,0,2,0,0,,3.5954425574425573,0.0,90.83169621016742
2026-05-17 03:43:17.087,exp_20260517a,3.273,fresh,none,3.73,0,25.2,71.3,988.8,10596,2,0,0,2,0,0,,3.5954425574425573,0.0,90.20593336454623
2026-05-17 03:43:17.765,exp_20260517a,3.95,fresh,none,3.92,0,25.2,71.4,988.8,11212,2,0,0,2,0,0,,3.785442557442557,0.0,89.63655387724539
2026-05-17 03:43:18.468,exp_20260517a,4.653,fresh,none,3.92,0,25.2,71.4,988.8,11899,2,0,0,2,0,0,,3.785442557442557,0.0,89.00154785812906
2026-05-17 03:43:19.145,exp_20260517a,5.331,fresh,none,3.92,0,25.2,71.5,988.8,12491,2,0,0,2,0,0,,3.785442557442557,0.0,88.45435198721657
2026-05-17 03:43:19.848,exp_20260517a,6.034,fresh,none,3.92,0,25.2,71.6,988.8,13127,2,0,0,2,0,0,,3.785442557442557,0.0,87.86648615292548
2026-05-17 03:43:20.526,exp_20260517a,6.711,fresh,none,3.92,0,25.3,71.7,988.8,13678,2,0,0,2,0,0,,3.785442557442557,0.0,87.35718729334307
2026-05-17 03:43:21.229,exp_20260517a,7.415,fresh,none,3.92,0,25.3,71.7,988.8,14366,2,0,0,2,0,0,,3.785442557442557,0.0,86.72125695687723
2026-05-17 03:43:21.907,exp_20260517a,8.092,fresh,none,3.92,0,25.3,71.8,988.8,14996,2,0,0,2,0,0,,3.785442557442557,0.0,86.1389370266832
2026-05-17 03:43:22.610,exp_20260517a,8.796,fresh,none,3.92,0,25.3,71.9,988.8,15625,2,0,0,2,0,0,,3.785442557442557,0.0,85.55754141383869
2026-05-17 03:43:23.287,exp_20260517a,9.473,fresh,none,3.92,0,25.3,72.0,988.8,16170,2,0,0,2,0,0,,3.785442557442557,0.0,85.05378845835338
2026-05-17 03:43:23.991,exp_20260517a,10.176,fresh,none,3.92,0,25.3,72.1,988.8,16863,2,0,0,2,0,0,,3.785442557442557,0.0,84.41323653513996
2026-05-17 03:43:24.668,exp_20260517a,10.854,fresh,none,3.75,0,25.3,72.2,988.8,17426,2,0,0,2,0,0,,3.6154425574425573,0.0,83.89284586736339
2026-05-17 03:43:25.371,exp_20260517a,11.557,fresh,none,3.75,0,25.4,72.3,988.8,18091,2,0,0,2,0,0,,3.6154425574425573,0.0,83.27817482993636
2026-05-17 03:43:26.049,exp_20260517a,12.235,fresh,none,3.73,0,25.4,72.4,988.8,18558,2,0,0,2,0,0,,3.5954425574425573,0.0,82.84651862771317
2026-05-17 03:43:26.752,exp_20260517a,12.938,fresh,none,3.73,0,25.4,72.5,988.8,19368,2,0,0,2,0,0,,3.5954425574425573,0.0,82.09782157460657
2026-05-17 03:43:27.430,exp_20260517a,13.616,fresh,none,3.73,0,25.4,72.6,988.8,19885,2,0,0,2,0,0,,3.5954425574425573,0.0,81.61994950490767
2026-05-17 03:43:28.133,exp_20260517a,14.319,fresh,none,3.73,0,25.4,72.7,988.8,20390,2,0,0,2,0,0,,3.5954425574425573,0.0,81.15316924340293
2026-05-17 03:43:28.811,exp_20260517a,14.996,fresh,none,3.73,0,25.4,72.8,988.8,21091,2,0,0,2,0,0,,3.5954425574425573,0.0,80.5052227813934
2026-05-17 03:43:29.514,exp_20260517a,15.7,fresh,none,3.73,0,25.4,72.8,988.8,21751,2,0,0,2,0,0,,3.5954425574425573,0.0,79.89517333071394
2026-05-17 03:43:30.191,exp_20260517a,16.377,fresh,none,3.73,0,25.5,73.0,988.8,22286,2,0,0,2,0,0,,3.5954425574425573,0.0,79.40066354872377
2026-05-17 03:43:30.895,exp_20260517a,17.081,fresh,none,3.73,0,25.5,73.0,988.8,22998,2,0,0,2,0,0,,3.5954425574425573,0.0,78.74254959586958
2026-05-17 03:43:31.573,exp_20260517a,17.758,fresh,none,3.73,0,25.5,73.1,988.8,23543,2,0,0,2,0,0,,3.5954425574425573,0.0,78.23879664038427
2026-05-17 03:43:32.276,exp_20260517a,18.462,fresh,none,3.73,0,25.5,73.2,988.8,24153,2,0,0,2,0,0,,3.5954425574425573,0.0,77.67496305718053
2026-05-17 03:43:32.957,exp_20260517a,19.143,fresh,none,3.49,0,25.5,73.3,988.8,24681,2,0,0,1,0,0,,3.3554425574425575,0.0,77.18692349663698
2026-05-17 03:43:33.660,exp_20260517a,19.846,fresh,none,3.49,0,25.5,73.3,988.8,25325,2,0,0,1,0,0,,3.3554425574425575,0.0,76.59166312354975
2026-05-17 03:43:34.338,exp_20260517a,20.524,fresh,none,3.46,0,25.5,73.4,988.8,25842,2,0,0,1,0,0,,3.3254425574425572,0.0,76.11379105385083
2026-05-17 03:43:35.042,exp_20260517a,21.227,fresh,none,3.46,0,25.5,73.5,988.8,26481,2,0,0,1,0,0,,3.3254425574425572,0.0,75.52315226751118
2026-05-17 03:43:35.720,exp_20260517a,21.905,fresh,none,3.46,0,25.5,73.5,988.8,27012,2,0,0,1,0,0,,3.3254425574425572,0.0,75.03233975491908
2026-05-17 03:43:36.423,exp_20260517a,22.609,fresh,none,3.46,0,25.5,73.6,988.8,27583,2,0,0,1,0,0,,3.3254425574425572,0.0,74.5045545483464
2026-05-17 03:43:37.101,exp_20260517a,23.287,fresh,none,3.46,0,25.5,73.7,988.8,28217,2,0,0,1,0,0,,3.3254425574425572,0.0,73.91853734875433
2026-05-17 03:43:37.804,exp_20260517a,23.99,fresh,none,3.46,0,25.6,73.7,988.8,28721,2,0,0,1,0,0,,3.3254425574425572,0.0,73.45268140459909
2026-05-17 03:43:38.482,exp_20260517a,24.668,fresh,none,3.46,0,25.6,73.8,988.8,29203,2,0,0,1,0,0,,3.3254425574425572,0.0,73.00716044213318
2026-05-17 03:43:39.186,exp_20260517a,25.371,fresh,none,3.46,0,25.6,73.8,988.8,29765,2,0,0,1,0,0,,3.3254425574425572,0.0,72.48769409170615
2026-05-17 03:43:39.864,exp_20260517a,26.05,fresh,none,3.46,0,25.6,73.9,988.8,30087,2,0,0,1,0,0,,3.3254425574425572,0.0,72.19006390516253
2026-05-17 03:43:40.567,exp_20260517a,26.753,fresh,none,3.46,0,25.6,73.9,988.8,30684,2,0,0,1,0,0,,3.3254425574425572,0.0,71.63824644750248
2026-05-17 03:43:41.245,exp_20260517a,27.431,fresh,none,3.32,0,25.6,74.0,988.8,31118,2,0,0,1,0,0,,3.185442557442557,0.0,71.23709271781327
2026-05-17 03:43:41.948,exp_20260517a,28.134,fresh,none,3.32,0,25.6,74.0,988.8,31951,2,0,0,1,0,0,,3.185442557442557,0.0,70.46713636566783
2026-05-17 03:43:42.626,exp_20260517a,28.812,fresh,none,3.38,0,25.6,74.1,988.8,32297,2,0,0,1,0,0,,3.245442557442557,0.0,70.14732256273587
2026-05-17 03:43:43.330,exp_20260517a,29.516,fresh,none,3.38,0,25.6,74.2,988.8,32676,2,0,0,1,0,0,,3.245442557442557,0.0,69.79700628726995
2026-05-17 03:43:44.008,exp_20260517a,30.193,fresh,none,3.38,0,25.6,74.2,988.8,33170,2,0,0,1,0,0,,3.245442557442557,0.0,69.34039351660986
2026-05-17 03:43:44.711,exp_20260517a,30.897,fresh,none,3.38,0,25.6,74.3,988.8,33732,2,0,0,1,0,0,,3.245442557442557,0.0,68.82092716618283
2026-05-17 03:43:45.389,exp_20260517a,31.575,fresh,none,3.38,0,25.6,74.3,988.8,34202,2,0,0,1,0,0,,3.245442557442557,0.0,68.38649801191109
2026-05-17 03:43:46.093,exp_20260517a,32.279,fresh,none,3.38,0,25.6,74.4,988.8,34743,2,0,0,1,0,0,,3.245442557442557,0.0,67.88644232582384
2026-05-17 03:43:46.770,exp_20260517a,32.956,fresh,none,3.38,0,25.6,74.4,988.8,35182,2,0,0,1,0,0,,3.245442557442557,0.0,67.48066700938705
2026-05-17 03:43:47.474,exp_20260517a,33.66,fresh,none,3.38,0,25.7,74.5,988.8,35390,2,0,0,1,0,0,,3.245442557442557,0.0,67.28840900068806
2026-05-17 03:43:48.152,exp_20260517a,34.338,fresh,none,3.27,0,25.7,74.5,988.8,35846,2,0,0,1,0,0,,3.1354425574425573,0.0,66.86692028930953
2026-05-17 03:43:48.856,exp_20260517a,35.042,fresh,none,3.27,0,25.7,74.5,988.8,36313,2,0,0,1,0,0,,3.1354425574425573,0.0,66.43526408708635
2026-05-17 03:43:49.533,exp_20260517a,35.719,fresh,none,3.24,0,25.7,74.6,988.8,36696,2,0,0,1,0,0,,3.1054425574425575,0.0,66.08125054222236
2026-05-17 03:43:50.237,exp_20260517a,36.423,fresh,none,3.24,0,25.7,74.6,988.8,37453,2,0,0,1,0,0,,3.1054425574425575,0.0,65.38154230864002
2026-05-17 03:43:50.915,exp_20260517a,37.101,fresh,none,3.24,0,25.7,74.6,988.8,37521,2,0,0,1,0,0,,3.1054425574425575,0.0,65.31868872887304
2026-05-17 03:43:51.619,exp_20260517a,37.804,fresh,none,3.24,0,25.7,74.7,988.8,38207,2,0,0,1,0,0,,3.1054425574425575,0.0,64.68460702710622
2026-05-17 03:43:52.297,exp_20260517a,38.482,fresh,none,3.24,0,25.7,74.7,988.8,38418,2,0,0,1,0,0,,3.1054425574425575,0.0,64.4895760663587
2026-05-17 03:43:53.000,exp_20260517a,39.186,fresh,none,3.24,0,25.7,74.7,988.8,38739,2,0,0,1,0,0,,3.1054425574425575,0.0,64.1928701971646
2026-05-17 03:43:53.678,exp_20260517a,39.864,fresh,none,3.24,0,25.7,74.7,988.8,39212,2,0,0,1,0,0,,3.1054425574425575,0.0,63.75566809084432
2026-05-17 03:43:54.382,exp_20260517a,40.567,fresh,none,3.24,0,25.7,74.7,988.8,39621,2,0,0,1,0,0,,3.1054425574425575,0.0,63.377622294892966
2026-05-17 03:43:55.059,exp_20260517a,41.245,fresh,none,3.24,0,25.7,74.8,988.8,40000,2,0,0,1,0,0,,3.1054425574425575,0.0,63.02730601942703
2026-05-17 03:43:55.763,exp_20260517a,41.949,fresh,none,3.24,0,25.7,74.7,988.8,40742,2,0,0,1,0,0,,3.1054425574425575,0.0,62.34146254608741
2026-05-17 03:43:56.441,exp_20260517a,42.627,fresh,none,3.16,0,25.7,74.7,988.8,40902,2,0,0,1,0,0,,3.0254425574425574,0.0,62.193571770165114
2026-05-17 03:43:57.145,exp_20260517a,43.33,fresh,none,3.16,0,25.7,74.8,988.8,41184,2,0,0,1,0,0,,3.0254425574425574,0.0,61.93291427760208
2026-05-17 03:43:57.823,exp_20260517a,44.009,fresh,none,3.14,0,25.8,74.8,988.8,41429,2,0,0,1,0,0,,3.0054425574425574,0.0,61.70645652697107
2026-05-17 03:43:58.526,exp_20260517a,44.712,fresh,none,3.14,0,25.8,74.8,988.8,42140,2,0,0,1,0,0,,3.0054425574425574,0.0,61.04926689146638
2026-05-17 03:43:59.204,exp_20260517a,45.39,fresh,none,3.14,0,25.8,74.8,988.8,42396,2,0,0,1,0,0,,3.0054425574425574,0.0,60.81264164999072
2026-05-17 03:43:59.908,exp_20260517a,46.093,fresh,none,3.14,0,25.8,74.8,988.9,42875,2,0,0,1,0,0,,3.0054425574425574,0.0,60.369893639573355
2026-05-17 03:44:00.596,exp_20260517a,46.781,fresh,none,3.14,0,25.8,74.8,988.9,43275,2,0,0,1,0,0,,3.0054425574425574,0.0,60.00016669976762
2026-05-17 03:44:01.299,exp_20260517a,47.485,fresh,none,3.14,0,25.8,74.8,988.9,43501,2,0,0,1,0,0,,3.0054425574425574,0.0,59.79127097877739
