sample_id,elapsed_s,time_label,sensory_label,nh3_ppm,h2s_ppm,temperature,humidity,pressure,gas_resistance,s_nh3,s_h2s,s_bme,i_nh3,i_h2s,i_bme,note,nh3_delta,h2s_delta,gas_drop_pct
pork20C_G11,0.000,fresh,none,2.16,0,20.1,50.3,991.5,72626,1,0,3,0,0,2,,2.120,0.0,22.814
pork20C_G11,0.715,fresh,none,2.17,0,20.1,50.4,991.5,72820,1,0,3,0,0,2,,2.130,0.0,22.608
pork20C_G11,1.554,fresh,none,2.25,0,20.0,50.5,991.5,72341,1,0,3,0,0,2,,2.210,0.0,23.117
pork20C_G11,2.493,fresh,none,2.05,0,20.1,50.7,991.5,72374,1,0,3,0,0,2,,2.010,0.0,23.082
pork20C_G11,3.280,fresh,none,2.06,0,20.0,50.7,991.5,72217,1,0,3,0,0,2,,2.020,0.0,23.249
pork20C_G11,4.192,fresh,none,2.06,0,20.0,50.8,991.5,72687,1,0,3,0,0,2,,2.020,0.0,22.749
pork20C_G11,4.857,fresh,none,2.00,0,20.0,50.9,991.5,72960,1,0,3,0,0,2,,1.960,0.0,22.459
pork20C_G11,5.481,fresh,none,2.02,0,20.0,50.9,991.5,72359,1,0,3,0,0,2,,1.980,0.0,23.098
pork20C_G11,6.078,fresh,none,2.04,0,20.0,51.0,991.5,72984,1,0,3,0,0,2,,2.000,0.0,22.433
pork20C_G11,6.785,fresh,none,2.02,0,20.0,51.1,991.5,72541,1,0,3,0,0,2,,1.980,0.0,22.904
pork20C_G11,7.517,fresh,none,2.01,0,20.0,51.1,991.5,72624,1,0,3,0,0,2,,1.970,0.0,22.816
pork20C_G11,8.359,fresh,none,1.94,0,20.1,51.2,991.5,72280,1,0,3,0,0,2,,1.900,0.0,23.182
pork20C_G11,9.242,fresh,none,1.97,0,20.1,51.2,991.5,71778,1,0,3,0,0,2,,1.930,0.0,23.715
pork20C_G11,9.957,fresh,none,1.97,0,20.1,51.3,991.5,72498,1,0,3,0,0,2,,1.930,0.0,22.950
pork20C_G11,10.664,fresh,none,2.03,0,20.1,51.4,991.5,72471,1,0,3,0,0,2,,1.990,0.0,22.979
pork20C_G11,11.413,fresh,none,1.99,0,20.1,51.4,991.6,72409,1,0,3,0,0,2,,1.950,0.0,23.045
pork20C_G11,12.036,fresh,none,2.07,0,20.2,51.5,991.6,71411,1,0,3,0,0,2,,2.030,0.0,24.105
pork20C_G11,12.768,fresh,none,2.09,0,20.2,51.5,991.6,71427,1,0,3,0,0,2,,2.050,0.0,24.088
pork20C_G11,13.453,fresh,none,2.08,0,20.1,51.5,991.6,72148,1,0,3,0,0,2,,2.040,0.0,23.322
pork20C_G11,14.250,fresh,none,2.03,0,20.1,51.5,991.6,72905,1,0,3,0,0,2,,1.990,0.0,22.517
